name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Jalen Hurts,PHI,QB,27,6407,6904,14783,3968,42,5,159
Rashee Rice,KC,WR,25.2,9929,10229,16194,3860,43,17,-487
Joe Mixon,HOU,RB,29,4578,4018,13131,3699,44,19,-124
Terry McLaurin,WAS,WR,29.9,4864,5927,14109,3603,45,18,-29
Chuba Hubbard,CAR,RB,26.1,183,7594,15261,3571,46,20,83
DeVonta Smith,PHI,WR,26.7,6635,7525,15282,3529,47,19,407
RJ Harvey,DEN,RB,24.5,12601,12489,17068,3513,48,21,-614
Patrick Mahomes,KC,QB,29.8,880,4046,13116,3315,49,6,-162
Mike Evans,TB,WR,31.9,7495,2216,11671,3310,50,20,273
Davante Adams,LAR,WR,32.6,1503,2133,11675,3190,51,21,37
David Montgomery,DET,RB,28.1,7515,5892,14071,3173,52,22,191
James Conner,ARI,RB,30.2,7447,4137,13146,3111,53,23,47
Travis Hunter,JAX,WR,22.2,12617,12530,17074,2963,54,22,-238
DK Metcalf,PIT,WR,27.6,5240,5846,14102,2885,55,23,-75
Sam LaPorta,DET,TE,24.5,9843,10859,16214,2851,56,4,-97
Tetairoa McMillan,CAR,WR,22.3,12635,12526,17071,2843,57,24,-283
DJ Moore,CHI,WR,28.3,6110,4983,13635,2829,58,25,4
Kaleb Johnson,PIT,RB,21.9,12598,12504,17048,2650,59,24,5
Aaron Jones,MIN,RB,30.6,2382,4199,13319,2547,60,25,-63
D'Andre Swift,CHI,RB,26.5,1574,6790,14797,2481,61,26,278
Jaylen Waddle,MIA,WR,26.7,1409,7526,15284,2332,62,26,105
T.J. Hockenson,MIN,TE,28.1,8215,5844,14138,2276,63,5,339
Travis Kelce,KC,TE,35.8,2204,1466,11244,2250,64,6,280
Quinshon Judkins,CLE,RB,21.7,12632,12512,17051,2207,65,27,-1510
Isiah Pacheco,KC,RB,26.4,3777,8205,15749,2197,66,28,236
Rome Odunze,CHI,WR,23.1,11763,11620,16616,2175,67,27,-63
Emeka Egbuka,TB,WR,22.8,12595,12514,17081,2070,68,28,517
Zay Flowers,BAL,WR,24.9,9930,9997,16190,2003,69,29,38
Courtland Sutton,DEN,WR,29.8,818,5045,13630,2003,70,30,-100
Travis Etienne Jr.,JAX,RB,26.5,3156,7543,15253,1954,71,29,86
Jameson Williams,DET,WR,24.3,1100,8148,15756,1927,72,31,-43
Justin Herbert,LAC,QB,27.4,8448,6797,14779,1915,73,7,-5
George Pickens,DAL,WR,24.4,1436,8137,15762,1873,74,32,544
Tony Pollard,TEN,RB,28.2,407,5967,14085,1802,75,30,-72
Chris Godwin,TB,WR,29.4,2505,4037,13163,1715,76,33,-310
Brian Robinson Jr.,WAS,RB,26.3,4174,8154,15716,1687,77,31,43
Tyler Warren,IND,TE,23.2,12592,12518,17102,1670,78,7,405
Chris Olave,NO,WR,25.1,2548,8144,15754,1581,79,34,-260
Xavier Worthy,KC,WR,22.2,11736,11624,16620,1502,80,35,311
